"year","theme_id","theme_name","relative","n_items","source_name","target_name"
2007,524,Service Packs,son,369,"507-Educational and Dacta","524-Service Packs"
2001,19,Supplemental,son,17,"1-Technic","19-Supplemental"
1991,473,Supplemental,son,96,"465-Universal Building Set","473-Supplemental"
2007,63,Traffic,son,62,"52-City","63-Traffic"
2013,232,Valentine,son,21,"206-Seasonal","232-Valentine"
1991,143,Supplemental,son,16,"126-Space","143-Supplemental"
2013,56,Construction,son,88,"52-City","56-Construction"
2020,64,Off-Road,son,11,"52-City","64-Off-Road"
2006,105,World City,son,47,"50-Town","105-World City"
2016,518,Mindstorms,son,90,"507-Educational and Dacta","518-Mindstorms"
2006,53,Airport,son,40,"52-City","53-Airport"
2013,524,Service Packs,son,369,"507-Educational and Dacta","524-Service Packs"
1988,498,Technic,son,10,"497-Books","498-Technic"
1962,757,Ideas Books,son,99,"497-Books","757-Ideas Books"
2000,230,Halloween,son,31,"206-Seasonal","230-Halloween"
1992,199,Lion Knights,son,27,"186-Castle","199-Lion Knights"
2003,634,Trains,son,73,"504-Duplo","634-Trains"
2006,66,Trains,son,37,"52-City","66-Trains"
1976,235,"4.5V",son,92,"233-Train","235-4.5V"
1994,728,McDonalds,son,19,"598-Promotional","728-McDonalds"
1994,503,Key Chain,son,707,"501-Gear","503-Key Chain"
2013,735,Plush Toys,son,99,"501-Gear","735-Plush Toys"
2003,510,Serious Play,son,23,"507-Educational and Dacta","510-Serious Play"
2015,735,Plush Toys,son,99,"501-Gear","735-Plush Toys"
2010,739,Stationery and Office Supplies,son,357,"501-Gear","739-Stationery and Office Supplies"
1996,534,Universal Building Set,son,21,"507-Educational and Dacta","534-Universal Building Set"
1977,416,Construction,son,42,"411-Legoland","416-Construction"
1984,21,Universal Building Set,son,23,"1-Technic","21-Universal Building Set"
2016,757,Ideas Books,son,99,"497-Books","757-Ideas Books"
2019,701,Superman,son,14,"695-Super Heroes DC","701-Superman"
2001,199,Lion Knights,son,27,"186-Castle","199-Lion Knights"
1974,740,Storage,son,166,"501-Gear","740-Storage"
1980,453,Technic,son,152,"443-Service Packs","453-Technic"
1993,19,Supplemental,son,17,"1-Technic","19-Supplemental"
2008,104,Town Plan,son,1,"50-Town","104-Town Plan"
2016,702,Avengers,son,122,"696-Super Heroes Marvel","702-Avengers"
1961,368,HO 1:87 Vehicles,son,215,"365-System","368-HO 1:87 Vehicles"
2004,461,Hockey,son,18,"458-Sports","461-Hockey"
2023,630,Marvel,son,9,"504-Duplo","630-Marvel"
